TGF	LPS	Cholesterol	Fructose	Background	NPC
NAFT18013_P2B4_D14_22_S10	TRUE	FALSE	FALSE	TRUE	fat	high
NAFT18013_P3A2_D14_26_S13	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18013_P3A6_D14_30_S16	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18013_P3B4_D14_34_S19	FALSE	TRUE	FALSE	TRUE	fat	low
NAFT18013_P4A2_D14_38_S22	FALSE	FALSE	TRUE	TRUE	lean	low
NAFT18013_P4A6_D14_42_S2	FALSE	FALSE	TRUE	TRUE	fat	low
NAFT18013_P4B4_D14_46_S5	TRUE	FALSE	FALSE	TRUE	fat	low
NAFT18014_P1B4_D14_94_S9	FALSE	TRUE	TRUE	FALSE	fat	high
NAFT18014_P2A2_D14_98_S12	TRUE	FALSE	TRUE	FALSE	lean	high
NAFT18014_P2A6_D14_102_S15	TRUE	FALSE	TRUE	FALSE	fat	high
NAFT18014_P2B4_D14_106_S18	FALSE	FALSE	TRUE	FALSE	fat	high
NAFT18014_P3A2_D14_110_S21	FALSE	FALSE	FALSE	FALSE	lean	low
NAFT18014_P3A6_D14_114_S24	FALSE	FALSE	FALSE	FALSE	fat	low
NAFT18013_P1A1_D14_01_rep_S12	FALSE	FALSE	FALSE	FALSE	lean	high
NAFT18013_P4A3_D14_39_rep_S13	FALSE	FALSE	TRUE	TRUE	lean	low
NAFT18014_P3B3_D14_117_S1	FALSE	TRUE	TRUE	FALSE	lean	low
NAFT18014_P3B6_D14_120_S2	FALSE	TRUE	TRUE	FALSE	fat	low
NAFT18014_P4A3_D14_123_S3	TRUE	FALSE	TRUE	FALSE	lean	low
NAFT18014_P4A6_D14_126_S4	TRUE	FALSE	TRUE	FALSE	fat	low
NAFT18014_P4B3_D14_129_S5	FALSE	FALSE	TRUE	FALSE	lean	low
NAFT18014_P4B6_D14_132_S6	FALSE	FALSE	TRUE	FALSE	fat	low
NAFT18014_P5A3_D14_135_S7	TRUE	TRUE	TRUE	TRUE	lean	high
NAFT18014_P5A6_D14_138_S8	TRUE	TRUE	TRUE	TRUE	fat	high
NAFT18014_P5B3_D14_141_S9	TRUE	TRUE	TRUE	TRUE	lean	low
NAFT18014_P5B6_D14_144_S10	TRUE	TRUE	TRUE	TRUE	fat	low
NAFT18015_P1B3_D14_153_S11	FALSE	FALSE	FALSE	FALSE	lean	low
