name,solution
nU1908,0
nU1909,0
nU1910,0
nU1911,1
nU1912,0
nU1913,0
nU1914,0
nU1915,0
nU1916,0
nU1917,0
nU1918,0
nU1919,0
nU1920,0
nU1921,0
nU1922,0
nU1923,0
nU1924,0
nU1925,0
nU1926,0
nU1927,0
nU1928,0
nU1929,0
nU1930,0
nU1931,0
nU1932,0
nU1933,0
nU1934,0
nU1935,0
nU1936,0
nU1937,0
nU1938,0
nU1939,0
nU1940,0
nU1941,1
nU1942,0
nU1943,0
nU1944,0
nU1945,0
nU1946,0
nU1947,0
nU1948,0
nU1949,0
nU1950,0
nU1951,0
nU1952,0
nU1953,0
nU1954,0
nU1955,0
nU1956,0
nU1957,0
nU1958,0
nU1959,0
nU1960,0
nU1961,0
nU1962,0
nU1963,1
nU1964,0
nU1965,0
nU1966,0
nU1967,0
nU1968,0
nU1969,0
nU1970,0
nU1971,0
nU1972,0
nU1973,0
nU1974,1
nU1975,0
nU1976,0
nU1977,0
nU1978,0
nU1979,0
nU1980,0
nU1981,0
nU1982,0
nU1983,0
nU1984,0
nU1985,0
nU1986,0
nU1987,0
nU1988,0
nU1989,0
nU1990,0
nU1991,0
nU1992,0
nU1993,0
nU1994,0
nU1995,0
nU1996,0
nU1997,0
nU1998,0
nU1999,0
nU2000,0
nU2001,0
nU2002,0
nU2003,0
nU2004,0
nU2005,0
nU2006,0
nU2007,0
nU2008,0
nU2009,0
nU2010,0
nU2011,0
nU2012,0
nU2013,0
nU2014,0
nU2015,0
nU2016,0
nU2017,1
nU2018,0
nU2019,0
nU2020,0
nU2021,0
nU2022,0
nU2023,0
nU2024,0
nU2025,0
nU2026,0
nU2027,0
nU2028,0
nU2029,0
nU2030,0
nU2031,0
nU2032,0
nU2033,0
nU2034,0
nU2035,0
nU2036,0
nU2037,0
nU2038,0
nU2039,0
nU2040,0
nU2041,0
nU2042,0
nU2043,0
nU2044,0
nU2045,0
nU2046,0
nU2047,0
nU2048,0
nU2049,0
nU2050,0
nU2051,0
nU2052,0
nU2053,0
nU2054,0
nU2055,0
nU2056,0
nU2057,0
nU2058,0
nU2059,0
nU2060,0
nU2061,0
nU2062,0
nU2063,0
nU2064,0
